timestamp,experiment_id,kernel,abstraction,platform,problem_size,n_atoms,n_nbrs_mean,n_nbrs_max,actual_flops,run_id,execution_time_ms,throughput_gflops,hw_state_verified
2026-03-16T13:58:08Z,nbody_native_notile_nvidia_rtx5060_laptop_small_n4000_029,notile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,4320000,29,0.020704,208.655339,1
2026-03-16T13:58:08Z,nbody_native_notile_nvidia_rtx5060_laptop_small_n4000_030,notile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,4320000,30,0.020416,211.598737,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_001,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,1,0.406784,786.461615,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_002,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,2,0.381504,838.575744,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_003,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,3,0.379136,843.813310,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_004,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,4,0.380544,840.691206,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_005,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,5,0.377984,846.385061,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_006,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,6,0.379648,842.675320,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_007,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,7,0.378944,844.240816,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_008,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,8,0.380576,840.620501,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_009,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,9,0.379680,842.604281,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_010,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,10,0.380992,839.702681,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_011,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,11,0.378016,846.313395,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_012,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,12,0.382912,835.492206,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_013,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,13,0.379904,842.107475,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_014,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,14,0.379712,842.533320,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_015,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,15,0.378592,845.025748,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_016,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,16,0.380256,841.327954,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_017,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,17,0.377312,847.892450,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_018,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,18,0.378592,845.025748,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_019,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,19,0.379840,842.249398,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_020,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,20,0.379936,842.036532,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_021,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,21,0.378304,845.669081,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_022,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,22,0.377568,847.317555,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_023,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,23,0.380288,841.257142,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_024,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,24,0.378976,844.169580,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_025,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,25,0.379904,842.107475,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_026,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,26,0.380480,840.832651,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_027,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,27,0.380352,841.115619,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_028,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,28,0.379424,843.172797,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_029,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,29,0.378752,844.668822,1
2026-03-16T13:58:10Z,nbody_native_tile_nvidia_rtx5060_laptop_small_n4000_030,tile,native,nvidia_rtx5060_laptop,small,4000,54.00,54,319920000,30,0.379232,843.599720,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_001,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,1,0.096544,357.971504,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_002,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,2,0.096800,357.024795,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_003,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,3,0.091776,376.569044,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_004,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,4,0.094624,365.235044,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_005,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,5,0.092480,373.702437,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_006,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,6,0.105184,328.567071,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_007,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,7,0.091744,376.700391,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_008,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,8,0.091840,376.306624,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_009,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,9,0.093344,370.243389,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_010,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,10,0.092320,374.350076,1
2026-03-16T13:58:11Z,nbody_native_notile_nvidia_rtx5060_laptop_medium_n32000_011,notile,native,nvidia_rtx5060_laptop,medium,32000,54.00,54,34560000,11,0.092192,374.869830,1
